Timestamp,Source IP,Dest IP,Protocol,Length,Port
2025-10-21 10:29:36,227.188.133.9,107.154.27.242,SSH,930,22
2025-10-21 10:30:55,192.168.1.111,169.8.208.19,UDP,200,110
2025-10-21 10:35:18,169.33.61.227,77.177.231.46,FTP,276,21
2025-10-21 10:36:20,10.0.0.175,192.168.1.129,TCP,182,53
2025-10-21 10:43:32,10.0.0.171,184.191.228.193,UDP,1133,3389
2025-10-21 10:51:39,192.168.1.146,140.75.103.195,HTTPS,1277,443
2025-10-21 10:52:47,231.28.215.172,139.166.149.206,SSH,1159,22
2025-10-21 10:53:54,169.33.61.227,172.65.142.200,HTTPS,150,443
2025-10-21 10:54:16,39.149.134.240,192.168.1.154,UDP,1356,16041
2025-10-21 10:58:38,120.104.151.215,245.72.236.233,HTTP,1161,80
2025-10-21 10:58:58,184.191.228.193,192.168.1.226,HTTP,237,80
2025-10-21 11:00:36,14.164.202.127,192.168.1.155,HTTPS,921,443
2025-10-21 11:01:37,77.177.231.46,236.164.116.80,UDP,1224,110
2025-10-21 11:04:58,182.150.220.213,10.148.247.236,HTTPS,193,443
2025-10-21 11:05:21,192.168.1.130,180.119.175.94,HTTP,136,80
2025-10-21 11:05:35,39.149.134.240,192.168.1.87,UDP,705,22
2025-10-21 11:06:39,10.0.0.227,192.168.1.189,HTTP,1165,80
2025-10-21 11:07:22,192.168.1.168,172.16.24.66,HTTPS,1384,443
2025-10-21 11:09:49,77.177.231.46,123.77.76.1,DNS,220,53
2025-10-21 11:15:28,192.168.1.154,172.16.29.20,UDP,948,3389
2025-10-21 11:16:10,16.231.2.96,180.119.175.94,SSH,677,22
2025-10-21 11:17:05,192.168.1.111,249.104.184.226,TCP,1382,110
2025-10-21 11:17:13,249.104.184.226,16.231.2.96,TCP,967,143
2025-10-21 11:18:18,106.197.31.37,192.168.1.130,TCP,1378,110
2025-10-21 11:21:03,192.168.1.39,107.154.27.242,ICMP,935,21214
2025-10-21 11:21:33,94.250.212.168,10.0.0.204,DNS,1436,53
2025-10-21 11:21:41,10.0.0.171,192.168.1.78,DNS,296,53
2025-10-21 11:22:11,192.168.1.155,236.164.116.80,DNS,687,53
2025-10-21 11:23:13,208.243.60.16,106.197.31.37,HTTPS,639,443
2025-10-21 11:23:43,228.138.84.163,192.168.1.78,UDP,989,23
2025-10-21 11:25:12,10.0.0.85,163.61.33.199,FTP,1347,21
2025-10-21 11:29:45,10.0.0.218,251.53.123.120,UDP,870,53
2025-10-21 11:31:00,80.142.135.225,192.168.1.111,ICMP,1047,54001
2025-10-21 11:33:07,60.123.108.2,120.104.151.215,HTTPS,1443,443
2025-10-21 11:33:16,225.242.135.155,10.0.0.254,ICMP,296,21249
2025-10-21 11:35:49,102.230.233.118,184.191.228.193,TCP,1474,53
2025-10-21 11:37:15,172.16.29.20,233.224.153.138,TCP,544,110
2025-10-21 11:41:00,158.121.146.7,119.247.123.17,ICMP,179,31776
2025-10-21 11:41:08,192.168.1.128,80.142.135.225,DNS,999,53
2025-10-21 11:44:00,10.0.0.51,172.16.13.188,HTTP,884,80
2025-10-21 11:46:05,73.221.152.2,172.16.10.180,SSH,1212,22
2025-10-21 11:47:24,172.65.142.200,10.0.0.171,UDP,763,53
2025-10-21 11:47:58,228.138.84.163,221.151.193.213,HTTP,1198,80
2025-10-21 11:51:25,55.179.8.163,60.123.108.2,HTTP,840,80
2025-10-21 11:54:16,77.177.231.46,172.16.8.165,UDP,381,53
2025-10-21 11:54:37,192.168.1.60,106.197.31.37,DNS,213,53
2025-10-21 12:02:42,192.168.1.155,10.0.0.175,HTTP,1418,80
2025-10-21 12:02:54,163.204.242.127,192.168.1.155,ICMP,408,29029
2025-10-21 12:04:03,219.244.46.56,225.242.135.155,HTTPS,335,443
2025-10-21 12:13:59,172.16.10.180,140.75.103.195,SSH,756,22
2025-10-21 12:17:01,248.208.178.22,192.168.1.39,DNS,518,53
2025-10-21 12:17:07,233.224.153.138,172.16.6.206,FTP,1106,21
2025-10-21 12:17:22,158.121.146.7,158.121.146.7,HTTP,1373,80
2025-10-21 12:19:14,192.168.1.141,94.250.212.168,HTTP,1396,80
2025-10-21 12:24:18,191.200.151.202,119.247.123.17,FTP,79,21
2025-10-21 12:27:18,10.0.0.175,125.251.31.204,FTP,534,21
2025-10-21 12:27:25,10.0.0.51,172.16.20.15,FTP,1092,21
2025-10-21 12:28:57,172.16.24.66,37.93.103.234,ICMP,791,50995
2025-10-21 12:31:01,158.121.146.7,125.251.31.204,SSH,337,22
2025-10-21 12:31:27,172.16.17.71,208.243.60.16,TCP,955,143
2025-10-21 12:36:35,248.208.178.22,98.183.56.157,FTP,183,21
2025-10-21 12:36:40,140.75.103.195,37.93.103.234,FTP,1206,21
2025-10-21 12:39:31,192.168.1.189,163.204.242.127,SSH,1418,22
2025-10-21 12:39:33,192.168.1.232,248.208.178.22,HTTPS,518,443
2025-10-21 12:41:19,84.61.13.1,172.16.16.142,ICMP,986,18489
2025-10-21 12:41:52,231.28.215.172,169.8.208.19,ICMP,1465,48573
2025-10-21 12:42:03,172.16.6.206,182.71.168.10,HTTP,1198,80
2025-10-21 12:43:03,172.16.13.188,10.0.0.170,TCP,314,143
2025-10-21 12:46:54,172.16.7.156,251.53.123.120,DNS,1028,53
2025-10-21 12:48:14,192.168.1.86,220.161.6.47,HTTP,518,80
2025-10-21 12:48:32,61.57.164.93,99.253.171.114,DNS,1090,53
2025-10-21 12:49:52,172.16.7.156,172.16.7.156,FTP,169,21
2025-10-21 12:57:12,172.16.16.32,172.16.21.194,FTP,537,21
2025-10-21 12:58:18,192.168.1.78,207.21.218.254,SSH,1262,22
2025-10-21 13:02:12,228.138.84.163,80.142.135.225,SSH,1252,22
2025-10-21 13:02:14,180.119.175.94,128.79.38.148,SSH,662,22
2025-10-21 13:06:56,10.148.247.236,10.0.0.171,HTTP,286,80
2025-10-21 13:08:26,192.168.1.26,227.188.133.9,UDP,1483,3389
2025-10-21 13:10:06,10.0.0.218,192.168.1.128,UDP,949,53
2025-10-21 13:11:07,163.61.33.199,102.82.233.191,HTTPS,998,443
2025-10-21 13:16:45,84.61.13.1,172.16.8.165,DNS,963,53
2025-10-21 13:20:45,102.82.233.191,94.250.212.168,FTP,466,21
2025-10-21 13:23:09,227.188.133.9,102.230.233.118,SSH,1075,22
2025-10-21 13:23:20,192.168.1.243,180.119.175.94,TCP,1155,3701
2025-10-21 13:28:20,102.82.233.191,207.21.218.254,SSH,315,22
2025-10-21 13:28:56,107.154.27.242,14.164.202.127,FTP,288,21
2025-10-21 13:29:06,78.161.124.20,94.250.212.168,UDP,1410,80
2025-10-21 13:29:14,60.123.108.2,139.166.149.206,ICMP,767,64839
2025-10-21 13:34:33,192.168.1.212,94.250.212.168,TCP,601,53
2025-10-21 13:34:59,128.79.38.148,172.65.142.200,TCP,220,443
2025-10-21 13:35:09,221.151.193.213,59.242.214.87,DNS,534,53
2025-10-21 13:35:42,10.148.247.236,99.72.201.146,FTP,69,21
2025-10-21 13:38:26,159.253.141.193,172.16.24.66,SSH,1399,22
2025-10-21 13:38:36,192.168.1.150,231.28.215.172,DNS,926,53
2025-10-21 13:39:25,120.104.151.215,55.179.8.163,ICMP,263,4311
2025-10-21 13:40:22,55.179.8.163,172.16.9.207,SSH,585,22
2025-10-21 13:41:07,192.168.1.141,84.61.13.1,ICMP,1277,9760
2025-10-21 13:44:41,204.64.137.189,10.0.0.175,SSH,487,22
2025-10-21 13:46:41,227.188.133.9,139.166.149.206,FTP,882,21
2025-10-21 13:50:47,102.230.233.118,192.168.1.39,DNS,860,53
2025-10-21 13:52:41,99.253.171.114,205.55.230.169,HTTPS,738,443
2025-10-21 13:58:25,172.16.16.32,140.75.103.195,ICMP,781,23690
2025-10-21 14:05:40,125.251.31.204,192.168.1.150,ICMP,401,31974
2025-10-21 14:06:44,60.123.108.2,172.16.16.142,ICMP,1061,54517
2025-10-21 14:12:53,123.77.76.1,227.188.133.9,DNS,673,53
2025-10-21 14:13:26,172.16.24.66,192.168.1.154,DNS,819,53
2025-10-21 14:17:59,172.16.19.49,94.250.212.168,DNS,1094,53
2025-10-21 14:18:17,10.0.0.254,84.61.13.1,TCP,73,110
2025-10-21 14:20:26,207.21.218.254,191.200.151.202,TCP,793,80
2025-10-21 14:21:08,192.168.1.43,192.168.1.78,HTTPS,888,443
2025-10-21 14:21:13,251.53.123.120,172.16.16.32,ICMP,641,31224
2025-10-21 14:23:15,192.168.1.240,125.251.31.204,HTTP,1273,80
2025-10-21 14:23:41,172.16.16.142,192.168.1.60,UDP,893,57298
2025-10-21 14:23:42,10.0.0.204,192.168.1.112,SSH,307,22
2025-10-21 14:26:35,192.168.1.150,10.0.0.204,HTTP,1349,80
2025-10-21 14:28:34,192.168.1.43,98.183.56.157,UDP,1153,143
2025-10-21 14:28:46,10.0.0.148,10.0.0.85,TCP,640,3389
2025-10-21 14:30:01,172.16.16.142,159.253.141.193,HTTP,732,80
2025-10-21 14:30:35,10.0.0.171,61.57.164.93,FTP,72,21
2025-10-21 14:36:03,220.161.6.47,207.21.218.254,HTTP,1232,80
2025-10-21 14:36:15,10.115.77.200,192.168.1.86,UDP,480,53
2025-10-21 14:36:46,139.166.149.206,192.168.1.188,FTP,562,21
2025-10-21 14:38:06,184.191.228.193,106.76.10.114,FTP,97,21
2025-10-21 14:47:57,192.168.1.39,192.168.1.234,FTP,1245,21
2025-10-21 14:49:09,172.16.8.165,227.188.133.9,TCP,748,55073
2025-10-21 14:49:52,172.16.7.156,169.8.208.19,ICMP,1184,20481
2025-10-21 14:50:10,192.168.1.60,102.230.233.118,FTP,784,21
2025-10-21 14:50:14,106.76.10.114,192.168.1.60,TCP,681,80
2025-10-21 14:50:28,192.168.1.240,125.251.31.204,TCP,1204,110
2025-10-21 14:57:19,248.208.178.22,102.230.233.118,ICMP,1421,42240
2025-10-21 15:06:25,204.64.137.189,172.16.6.206,ICMP,1057,62146
2025-10-21 15:06:52,37.93.103.234,184.191.228.193,FTP,1163,21
2025-10-21 15:10:23,106.197.31.37,172.16.29.20,HTTP,142,80
2025-10-21 15:10:33,192.168.1.162,10.0.0.253,FTP,246,21
2025-10-21 15:13:29,248.208.178.22,172.16.28.173,FTP,1475,21
2025-10-21 15:15:53,192.168.1.243,60.96.83.224,ICMP,826,7298
2025-10-21 15:16:35,158.121.146.7,192.168.1.154,DNS,864,53
2025-10-21 15:18:38,172.16.6.206,236.164.116.80,DNS,397,53
2025-10-21 15:19:34,4.237.127.49,172.16.17.71,DNS,1027,53
2025-10-21 15:24:34,192.168.1.232,84.61.13.1,UDP,306,110
2025-10-21 15:24:46,84.61.13.1,172.16.8.165,UDP,903,21
2025-10-21 15:25:55,248.208.178.22,120.104.151.215,SSH,1095,22
2025-10-21 15:26:46,158.121.146.7,10.0.0.253,ICMP,1251,9376
2025-10-21 15:27:35,234.53.122.107,182.150.220.213,TCP,1115,110
2025-10-21 15:31:12,107.154.27.242,158.121.146.7,HTTPS,140,443
2025-10-21 15:31:35,123.77.76.1,99.253.171.114,ICMP,1398,51379
2025-10-21 15:32:35,228.138.84.163,172.16.19.49,UDP,1046,22
2025-10-21 15:32:36,192.168.1.168,94.250.212.168,HTTPS,631,443
2025-10-21 15:32:53,172.16.16.32,219.244.46.56,FTP,617,21
2025-10-21 15:34:34,174.141.102.235,169.33.61.227,FTP,654,21
2025-10-21 15:35:28,10.0.0.242,10.0.0.57,HTTP,606,80
2025-10-21 15:36:02,172.16.9.207,94.250.212.168,HTTPS,70,443
2025-10-21 15:37:05,172.16.7.156,192.168.1.130,HTTPS,754,443
2025-10-21 15:40:57,233.224.153.138,10.148.247.236,DNS,541,53
2025-10-21 15:41:46,172.16.13.188,172.16.17.71,ICMP,1111,21928
2025-10-21 15:43:08,10.0.0.242,192.168.1.155,DNS,858,53
2025-10-21 15:43:11,102.230.233.118,159.253.141.193,SSH,1000,22
2025-10-21 15:44:47,180.119.175.94,192.168.1.86,HTTPS,438,443
2025-10-21 15:50:07,192.168.1.26,61.57.164.93,UDP,274,53
2025-10-21 15:50:13,135.1.10.188,192.168.1.226,HTTP,210,80
2025-10-21 15:50:19,192.168.1.60,10.0.0.51,HTTP,1258,80
2025-10-21 15:53:19,172.16.16.142,248.208.178.22,HTTPS,516,443
2025-10-21 15:57:36,106.76.10.114,8.56.72.4,ICMP,741,1347
2025-10-21 15:58:45,180.119.175.94,163.204.242.127,HTTPS,1025,443
2025-10-21 16:01:03,10.0.0.254,208.243.60.16,TCP,1364,110
2025-10-21 16:03:00,192.168.1.111,192.168.1.240,TCP,1109,443
2025-10-21 16:04:47,119.247.123.17,192.168.1.60,FTP,530,21
2025-10-21 16:05:38,10.148.247.236,4.237.127.49,HTTP,101,80
2025-10-21 16:06:46,10.0.0.218,140.75.103.195,HTTPS,1259,443
2025-10-21 16:11:54,73.221.152.2,107.154.27.242,FTP,1234,21
2025-10-21 16:13:37,16.231.2.96,174.141.102.235,TCP,1196,53
2025-10-21 16:14:43,172.16.9.207,192.168.1.87,HTTPS,1038,443
2025-10-21 16:17:11,192.168.1.60,128.79.38.148,HTTP,128,80
2025-10-21 16:17:17,192.168.1.244,169.33.61.227,HTTPS,370,443
2025-10-21 16:20:04,192.168.1.130,39.149.134.240,HTTPS,1436,443
2025-10-21 16:21:01,163.204.242.127,172.16.19.49,ICMP,1429,45256
2025-10-21 16:22:31,60.123.108.2,73.221.152.2,ICMP,515,4222
2025-10-21 16:23:28,172.16.6.206,175.254.240.69,TCP,881,110
2025-10-21 16:25:16,192.168.1.129,231.28.215.172,SSH,759,22
2025-10-21 16:26:19,182.150.220.213,156.51.181.67,FTP,147,21
2025-10-21 16:27:03,123.77.76.1,192.168.1.146,HTTP,383,80
2025-10-21 16:32:00,192.168.1.86,174.141.102.235,ICMP,1097,24656
2025-10-21 16:32:52,77.177.231.46,172.16.6.206,UDP,847,443
2025-10-21 16:33:23,10.115.77.200,172.16.8.165,SSH,1128,22
2025-10-21 16:35:37,172.16.10.180,172.16.29.20,TCP,97,443
2025-10-21 16:38:12,192.168.1.226,172.16.16.142,FTP,1385,21
2025-10-21 16:38:18,84.61.13.1,172.65.142.200,FTP,942,21
2025-10-21 16:44:03,192.168.1.212,225.242.135.155,HTTP,996,80
2025-10-21 16:47:17,172.16.19.49,192.168.1.243,TCP,1428,21
2025-10-21 16:48:48,4.237.127.49,207.21.218.254,TCP,1262,11103
2025-10-21 16:51:24,39.149.134.240,99.253.171.114,HTTPS,513,443
2025-10-21 16:51:54,192.168.1.244,249.104.184.226,SSH,82,22
2025-10-21 16:52:12,236.164.116.80,227.188.133.9,UDP,72,143
2025-10-21 16:52:31,73.221.152.2,192.168.1.244,DNS,612,53
2025-10-21 16:55:08,77.177.231.46,191.200.151.202,SSH,1489,22
2025-10-21 16:56:46,192.168.1.154,125.251.31.204,HTTP,590,80
2025-10-21 16:57:08,163.61.33.199,77.177.231.46,HTTPS,1398,443
2025-10-21 16:57:29,172.16.21.194,169.33.61.227,FTP,933,21
2025-10-21 16:58:22,192.168.1.188,59.242.214.87,UDP,292,143
2025-10-21 17:00:27,172.16.17.71,192.168.1.212,ICMP,235,8033
2025-10-21 17:01:54,10.0.0.51,251.53.123.120,HTTPS,919,443
2025-10-21 17:04:16,94.250.212.168,172.16.6.206,FTP,1115,21
2025-10-21 17:08:51,169.33.61.227,60.96.83.224,HTTP,1477,80
2025-10-21 17:16:49,192.168.1.43,10.0.0.253,FTP,603,21
2025-10-21 17:20:06,221.151.193.213,172.16.9.207,FTP,226,21
2025-10-21 17:25:04,10.0.0.57,172.16.17.71,DNS,1281,53
2025-10-21 17:27:15,123.77.76.1,180.119.175.94,HTTP,757,80
2025-10-21 17:34:16,182.71.168.10,169.33.61.227,HTTPS,876,443
2025-10-21 17:40:41,172.16.28.173,231.28.215.172,TCP,263,53
2025-10-21 17:43:53,180.119.175.94,60.123.108.2,HTTP,1383,80
2025-10-21 17:47:05,77.177.231.46,163.204.242.127,ICMP,547,58804
2025-10-21 17:47:07,182.150.220.213,77.177.231.46,FTP,1278,21
2025-10-21 17:49:56,182.71.168.10,102.230.233.118,TCP,684,443
2025-10-21 17:50:24,172.16.16.32,172.16.9.207,ICMP,465,54305
2025-10-21 17:52:51,16.231.2.96,192.168.1.154,TCP,513,143
2025-10-21 17:53:21,182.150.220.213,10.0.0.51,UDP,1100,22
2025-10-21 17:53:30,192.168.1.146,192.168.1.129,FTP,391,21
2025-10-21 17:53:57,207.21.218.254,219.244.46.56,HTTPS,1259,443
2025-10-21 17:57:03,10.0.0.85,102.230.233.118,UDP,1108,80
2025-10-21 17:57:32,163.204.242.127,172.16.20.15,SSH,392,22
2025-10-21 17:59:10,10.0.0.170,192.168.1.141,TCP,958,110
2025-10-21 18:00:21,225.242.135.155,172.16.10.180,HTTPS,663,443
2025-10-21 18:02:52,192.168.1.155,60.96.83.224,FTP,1217,21
2025-10-21 18:03:34,84.61.13.1,158.121.146.7,FTP,1175,21
2025-10-21 18:04:27,10.0.0.57,172.16.28.173,HTTP,114,80
2025-10-21 18:06:39,172.16.24.66,172.16.21.194,HTTP,565,80
2025-10-21 18:09:04,119.247.123.17,84.61.13.1,TCP,309,443
2025-10-21 18:14:33,159.253.141.193,172.16.28.173,UDP,905,22
2025-10-21 18:15:41,192.168.1.111,61.57.164.93,HTTP,801,80
2025-10-21 18:16:15,192.168.1.146,227.188.133.9,SSH,725,22
2025-10-21 18:20:58,192.168.1.154,172.16.20.15,HTTP,876,80
2025-10-21 18:21:08,106.197.31.37,163.61.33.199,HTTP,696,80
2025-10-21 18:30:46,163.204.242.127,208.243.60.16,FTP,1203,21
2025-10-21 18:31:38,10.0.0.253,14.164.202.127,ICMP,528,21541
2025-10-21 18:36:42,99.72.201.146,106.197.31.37,HTTP,497,80
2025-10-21 18:37:32,10.0.0.171,163.61.33.199,UDP,115,443
2025-10-21 18:40:02,60.123.108.2,180.119.175.94,SSH,438,22
2025-10-21 18:41:43,38.195.20.90,192.168.1.154,FTP,458,21
2025-10-21 18:43:31,234.53.122.107,99.72.201.146,ICMP,1230,11374
2025-10-21 18:46:12,234.53.122.107,192.168.1.129,DNS,886,53
2025-10-21 18:46:52,10.0.0.85,182.150.220.213,SSH,1343,22
2025-10-21 18:48:32,163.204.242.127,102.230.233.118,DNS,538,53
2025-10-21 18:50:11,10.0.0.57,169.33.61.227,HTTPS,1162,443
2025-10-21 18:51:42,227.188.133.9,10.0.0.253,FTP,807,21
2025-10-21 18:51:47,249.104.184.226,172.16.17.71,HTTPS,931,443
2025-10-21 18:51:57,174.141.102.235,59.242.214.87,FTP,1143,21
2025-10-21 18:52:04,174.141.102.235,10.0.0.175,FTP,1200,21
2025-10-21 18:55:18,192.168.1.111,169.8.208.19,FTP,158,21
2025-10-21 18:57:15,8.56.72.4,4.237.127.49,SSH,640,22
2025-10-21 19:00:45,208.243.60.16,172.16.21.194,FTP,785,21
2025-10-21 19:01:21,227.188.133.9,158.121.146.7,FTP,699,21
2025-10-21 19:05:00,73.221.152.2,156.51.181.67,FTP,558,21
2025-10-21 19:05:22,16.231.2.96,10.0.0.148,SSH,1391,22
2025-10-21 19:06:07,125.251.31.204,225.242.135.155,SSH,652,22
2025-10-21 19:06:15,249.104.184.226,107.154.27.242,HTTPS,790,443
2025-10-21 19:08:19,16.231.2.96,207.21.218.254,SSH,485,22
2025-10-21 19:08:25,106.197.31.37,172.16.6.206,SSH,901,22
2025-10-21 19:10:03,55.179.8.163,102.82.233.191,HTTP,1410,80
2025-10-21 19:13:15,192.168.1.130,172.16.8.165,ICMP,1060,63513
2025-10-21 19:17:03,192.168.1.212,107.154.27.242,DNS,1352,53
2025-10-21 19:18:22,10.0.0.227,192.168.1.86,ICMP,1154,4434
2025-10-21 19:20:23,10.0.0.227,219.244.46.56,HTTP,725,80
2025-10-21 19:21:36,172.16.6.206,60.123.108.2,TCP,1354,23803
2025-10-21 19:23:59,221.151.193.213,192.168.1.112,UDP,1100,23
2025-10-21 19:24:30,10.0.0.253,60.123.108.2,DNS,389,53
2025-10-21 19:25:43,172.16.21.194,10.0.0.57,UDP,714,53
2025-10-21 19:25:43,172.16.8.165,221.151.193.213,HTTPS,1358,443
2025-10-21 19:27:11,10.0.0.175,192.168.1.112,ICMP,974,31557
2025-10-21 19:31:41,192.168.1.78,123.77.76.1,UDP,98,22
2025-10-21 19:32:55,192.168.1.111,169.8.208.19,ICMP,1276,22484
2025-10-21 19:35:37,80.142.135.225,77.177.231.46,HTTP,179,80
2025-10-21 19:37:41,10.0.0.171,139.166.149.206,TCP,312,36404
2025-10-21 19:38:23,192.168.1.39,10.0.0.170,SSH,196,22
2025-10-21 19:41:41,192.168.1.130,10.0.0.175,HTTP,1451,80
2025-10-21 19:41:50,10.0.0.206,169.33.61.227,SSH,762,22
2025-10-21 19:42:23,192.168.1.146,156.51.181.67,TCP,568,443
2025-10-21 19:43:36,192.168.1.78,102.230.233.118,HTTP,1211,80
2025-10-21 19:45:46,192.168.1.129,10.0.0.218,FTP,99,21
2025-10-21 19:45:48,233.224.153.138,84.61.13.1,SSH,1470,22
2025-10-21 19:48:08,10.0.0.170,192.168.1.78,UDP,130,23
2025-10-21 19:49:37,180.119.175.94,140.75.103.195,HTTP,1455,80
2025-10-21 19:50:38,38.195.20.90,38.195.20.90,ICMP,848,22928
2025-10-21 19:51:24,10.0.0.227,249.104.184.226,UDP,841,22
2025-10-21 19:51:37,159.253.141.193,4.237.127.49,UDP,268,53
2025-10-21 19:55:28,172.16.8.165,182.71.168.10,HTTPS,960,443
2025-10-21 19:57:36,192.168.1.162,192.168.1.154,UDP,175,53
2025-10-21 19:58:17,10.0.0.57,172.16.20.15,UDP,425,22
2025-10-21 20:00:02,219.244.46.56,219.244.46.56,SSH,975,22
2025-10-21 20:03:12,172.16.21.194,172.16.20.15,HTTPS,1325,443
2025-10-21 20:03:14,99.253.171.114,172.16.21.194,FTP,1465,21
2025-10-21 20:03:24,10.0.0.204,220.161.6.47,DNS,64,53
2025-10-21 20:04:20,192.168.1.43,192.168.1.226,FTP,722,21
2025-10-21 20:06:37,221.151.193.213,192.168.1.39,ICMP,85,58524
2025-10-21 20:09:21,107.154.27.242,172.16.19.49,SSH,544,22
2025-10-21 20:10:38,221.151.193.213,251.53.123.120,TCP,1365,22
2025-10-21 20:15:17,192.168.1.162,172.16.17.71,SSH,267,22
2025-10-21 20:18:42,10.0.0.170,77.177.231.46,ICMP,435,25594
2025-10-21 20:20:50,120.104.151.215,172.16.8.165,DNS,186,53
2025-10-21 20:20:53,102.230.233.118,172.16.10.180,HTTP,201,80
2025-10-21 20:22:07,10.0.0.204,182.150.220.213,ICMP,985,949
2025-10-21 20:24:54,192.168.1.111,10.0.0.148,SSH,442,22
2025-10-21 20:25:34,245.72.236.233,119.247.123.17,DNS,1188,53
2025-10-21 20:29:23,128.79.38.148,245.72.236.233,FTP,1305,21
2025-10-21 20:30:46,78.161.124.20,192.168.1.192,TCP,670,23
2025-10-21 20:31:34,10.0.0.51,106.197.31.37,HTTPS,582,443
2025-10-21 20:32:06,221.151.193.213,10.0.0.206,HTTP,223,80
2025-10-21 20:36:23,10.0.0.57,192.168.1.78,TCP,1280,3389
2025-10-21 20:39:40,192.168.1.240,10.0.0.204,DNS,1348,53
2025-10-21 20:40:06,119.247.123.17,225.242.135.155,HTTP,441,80
2025-10-21 20:42:10,120.104.151.215,4.237.127.49,TCP,277,53
2025-10-21 20:43:44,55.179.8.163,98.183.56.157,TCP,539,3389
2025-10-21 20:47:17,248.208.178.22,120.104.151.215,TCP,122,80
2025-10-21 20:49:43,10.0.0.51,228.138.84.163,HTTPS,820,443
2025-10-21 20:54:09,184.191.228.193,192.168.1.240,SSH,1050,22
2025-10-21 20:55:38,231.28.215.172,208.243.60.16,FTP,384,21
2025-10-21 20:57:00,228.138.84.163,156.51.181.67,DNS,959,53
2025-10-21 20:58:07,10.0.0.204,172.16.6.206,HTTPS,735,443
2025-10-21 21:08:51,10.0.0.204,192.168.1.87,HTTP,76,80
2025-10-21 21:10:34,123.77.76.1,10.0.0.170,SSH,420,22
2025-10-21 21:10:58,77.177.231.46,174.141.102.235,TCP,302,23
2025-10-21 21:12:57,10.0.0.57,231.28.215.172,SSH,574,22
2025-10-21 21:14:34,192.168.1.43,248.208.178.22,DNS,1315,53
2025-10-21 21:15:09,172.16.16.32,172.16.17.71,UDP,1124,23
2025-10-21 21:16:35,219.244.46.56,172.16.24.66,UDP,876,143
2025-10-21 21:18:00,172.16.19.49,192.168.1.168,TCP,245,143
2025-10-21 21:26:35,245.72.236.233,192.168.1.189,SSH,257,22
2025-10-21 21:27:47,8.56.72.4,192.168.1.154,UDP,73,21
